Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series B - The Exploration Company,https://www.crunchbase.com/funding_round/the-exploration-company-series-b--a66b6220,The Exploration Company,https://www.crunchbase.com/organization/the-exploration-company,Series B,"Munich, Bayern, Germany, Europe",150000000,EUR,158042465,2024-11-17,Early Stage Venture,300000000,EUR,316084930,Yes,"The Exploration Company develops, manufactures and operates modular and reusable spaceships serving the needs of space stations.","Aerospace, Air Transportation, Manufacturing, Space Travel",,https://exploration.space,$10M to $50M,196800000,EUR,209857798,Early Stage Venture,5,"Balderton Capital, Plural Platform","Balderton Capital, Bayern Kapital, Bessemer Venture Partners, Bpifrance, Cherry Ventures, DeepTech & Climate Fonds, EQT Ventures, July Fund, NGP Capital, Omnes Capital, Plural Platform, Promus Ventures, Red River West",13,2,"4,613"
Seed Round - Seqana,https://www.crunchbase.com/funding_round/seqana-seed--704364db,Seqana,https://www.crunchbase.com/organization/seqana,Seed,"Berlin, Berlin, Germany, Europe",2100000,EUR,2274596,2024-05-30,Seed,,,,Yes,Seqana develops a software enabling carbon capturing for farmers.,"AgTech, Carbon Capture, Food and Beverage, Software",,https://seqana.com/,$1M to $10M,5690623,USD,5690623,Seed,4,"Counteract, HTGF | High-Tech Gruenderfonds","Axel Stepken, Ben Brandt, Counteract, HTGF | High-Tech Gruenderfonds, Klaus Kunz, ReGen Ventures, Stefan Gross-Selbeck",7,2,"4,853"
Venture Round - Mediaire,https://www.crunchbase.com/funding_round/mediaire-series-unknown--de8c6a1a,Mediaire,https://www.crunchbase.com/organization/mediaire,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",12000000,EUR,12679079,2024-11-13,,,,,Yes,Mediaire GmbH is a  software  company.,Software,,https://mediaire.de/en/,$50M to $100M,14000000,EUR,15109987,,3,LBO France,"Gateway Ventures, HTGF | High-Tech Gruenderfonds, IBB Ventures, LBO France, LIFTT, Wille Finance",6,3,"6,149"
Venture Round - Meight,https://www.crunchbase.com/funding_round/meight-series-unknown--d146baf1,Meight,https://www.crunchbase.com/organization/meight,Venture - Series Unknown,"Évora, Evora, Portugal, Europe",3400000,EUR,3568205,2024-12-17,,,,,Yes,Meight develops fuel cost and CO2 emission forecasting platform.,"Computer, InsurTech, Machine Learning, Software",,https://meight.com,,4700000,EUR,5042730,,4,Cusp Capital,"Cusp Capital, EIT Urban Mobility, Faber, Grupo Lusiaves service",4,1,"6,971"
Series B - Lymphatica Medtech,https://www.crunchbase.com/funding_round/lymphatica-medtech-series-b--7a35e0f4,Lymphatica Medtech,https://www.crunchbase.com/organization/lymphatica-medtech,Series B,"Ecublens, Vaud, Switzerland, Europe",17900000,EUR,19646128,2024-10-08,Early Stage Venture,,,,Yes,Lymphatica Medtech is a medical device development company developing a minimally invasive solution for chronic lymphedema.,"Biotechnology, Health Care, Medical, Medical Device",,https://lymphaticamedtech.com,Less than $1M,20109678,USD,20109678,Early Stage Venture,10,"CDP Venture Capital, Panakes Partners, TechWald Holding S.p.A.","CDP Venture Capital, Club degli Investitori, HTGF | High-Tech Gruenderfonds, OCCIDENT, Panakes Partners, TechWald Holding S.p.A., Zürcher Kantonal Bank",7,2,"6,979"
Series B - Aignostics,https://www.crunchbase.com/funding_round/aignostics-series-b--b6931432,Aignostics,https://www.crunchbase.com/organization/aignostics,Series B,"Berlin, Berlin, Germany, Europe",34000000,USD,34000000,2024-10-29,Early Stage Venture,,,,Yes,Aignostics is an AI-powered precision diagnostics focused on pathology to assist with drug development and clinical research.,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Software",,http://www.aignostics.com,$100M to $500M,54841427,USD,54841427,Early Stage Venture,5,ATHOS,"ATHOS, Boehringer Ingelheim Venture Fund, Carma Fund, HTGF | High-Tech Gruenderfonds, IBB Ventures, Mayo Clinic, Wellington Partners",7,1,"7,023"
Series A - Paebbl,https://www.crunchbase.com/funding_round/paebbl-series-a--ae1c69d4,Paebbl,https://www.crunchbase.com/organization/paebbl,Series A,"Stockholm, Stockholms Lan, Sweden, Europe",25000000,USD,25000000,2024-10-09,Early Stage Venture,,,,Yes,We re-store captured carbon into industrial raw materials,"Building Material, Carbon Capture, Environmental Engineering, Industrial, Mineral",,https://paebbl.com,$1M to $10M,32969723,USD,32969723,Early Stage Venture,2,Capnamic Ventures,"2050, Aurum Impact, Capnamic Ventures, Climate Pledge Fund, Family office of Antti Herlin, Grantham Foundation, Holcim MAQER Ventures, Pale blue dot",8,2,"7,310"
Seed Round - Refoxy Pharma,https://www.crunchbase.com/funding_round/refoxy-pharma-seed--ebdd5679,Refoxy Pharma,https://www.crunchbase.com/organization/refoxy-pharma,Seed,"Berlin, Berlin, Germany, Europe",9100000,EUR,9566159,2024-12-04,Seed,,,,Yes,Developer of therapeutic medicines intended to treat age-related diseases and improve healthy longevity.,"Manufacturing, Pharmaceutical, Therapeutics",,https://www.refoxy.com,,9100000,EUR,9566159,Seed,2,Boehringer Ingelheim Venture Fund,"Apollo Health Ventures, Boehringer Ingelheim Venture Fund, HTGF | High-Tech Gruenderfonds, NRW.BANK",4,5,"7,608"
Pre Seed Round - Optiml,https://www.crunchbase.com/funding_round/optiml-pre-seed--aaae4bcf,Optiml,https://www.crunchbase.com/organization/optiml,Pre-Seed,"Zürich, Zurich, Switzerland, Europe",3500000,CHF,4112026,2024-08-21,Seed,,,,Yes,"Optiml is a software company that provides real estate decarbonization, renovation strategies, asset, and portfolio management services.","Construction, Energy Efficiency, Enterprise Software, Real Estate, Real Estate Investment, Renewable Energy, Risk Management, SaaS, Software, Sustainability",,https://www.optiml.com,,5010000,CHF,5803682,Seed,3,BitStone Capital,"BitStone Capital, Innovation Endeavors, KOMPAS VC, Planet A Ventures",4,4,"7,638"
Seed Round - eyva.ai,https://www.crunchbase.com/funding_round/datazeit-seed--c4a72dcc,eyva.ai,https://www.crunchbase.com/organization/datazeit,Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",2750000,EUR,2889047,2024-12-13,Seed,,,,Yes,Meet eyva - you guide to a winning product portfolio.,"Artificial Intelligence (AI), Big Data, Consumer, Information Technology, Machine Learning, Market Research, Natural Language Processing, Software, Text Analytics",,https://www.eyva.ai,Less than $1M,2750000,EUR,2889047,Seed,3,"Earlybird Venture Capital, WENVEST Capital","Earlybird Venture Capital, Robin Capital, Super Angels, True., WENVEST Capital, WEPA Ventures, xdeck",7,3,"7,736"
