Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series A - Nomagic,https://www.crunchbase.com/funding_round/nomagic-series-a--2a917a34,Nomagic,https://www.crunchbase.com/organization/nomagic,Series A,"Warsaw, Mazowieckie, Poland, Europe",22000000,USD,22000000,2022-05-24,Early Stage Venture,,,,Yes,Nomagic provides smart pick and place robotic solutions for order fulfillment.,"Artificial Intelligence (AI), Cloud Infrastructure, Logistics, Robotics",,https://nomagic.ai/,$1B to $10B,74600000,USD,74600000,Early Stage Venture,4,"Almaz Capital, Khosla Ventures","Almaz Capital, Capnamic Ventures, DN Capital, European Investment Bank, Hoxton Ventures, Khosla Ventures, Manta Ray Ventures",7,3,"9,705"
Seed Round - JULIENNE BRUNO,https://www.crunchbase.com/funding_round/julienne-bruno-seed--58bd08a4,JULIENNE BRUNO,https://www.crunchbase.com/organization/julienne-bruno,Seed,"London, England, United Kingdom, Europe",5000000,GBP,5685695,2022-11-04,Seed,,,,Yes,Julienne Bruno made with naturally plant-based ingredients like fermented legumes & slow roasted vegetables.,"Food and Beverage, Food Delivery",,http://www.juliennebruno.com,,6000000,GBP,7053282,Seed,2,Cherry Ventures,"Cherry Ventures, Nicoya, Outsized Ventures, Seedcamp",4,3,"33,172"
Series B - Laserhub,https://www.crunchbase.com/funding_round/laserhub-series-b--0563fbfd,Laserhub,https://www.crunchbase.com/organization/laserhub,Series B,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2022-06-14,Early Stage Venture,,,,Yes,Industrial procurement platform for custom made metal parts,"Industrial, Internet, Small and Medium Businesses",,https://www.laserhub.com/,$10M to $50M,3150000,USD,3150000,Early Stage Venture,4,Evli Growth Partners,"Acton Capital, Evli Growth Partners, FJ Labs, Fuse Venture Partners, Point Nine, Project A Ventures, Schenker Ventures",7,4,"33,520"
Series B - Juni,https://www.crunchbase.com/funding_round/juni-series-b--160cf8cb,Juni,https://www.crunchbase.com/organization/juni,Series B,"Göteborg, Vastra Gotaland, Sweden, Europe",100000000,USD,100000000,2022-06-08,Early Stage Venture,700000000,USD,700000000,Yes,Juni is a fintech company that develops a banking app and platform for e-commerce and online marketing entrepreneurs.,"Banking, E-Commerce, Finance, Financial Services, FinTech",,https://www.juni.co,$1M to $10M,281873253,USD,281873253,Early Stage Venture,5,Mubadala Capital Ventures,"Cherry Ventures, DST Global, EQT Ventures, Felix Capital, Mubadala Capital Ventures, Silverbacks Holdings",6,5,"38,691"
Seed Round - Ninetailed,https://www.crunchbase.com/funding_round/ninetailed-seed--340f5520,Ninetailed,https://www.crunchbase.com/organization/ninetailed,Seed,"Berlin, Berlin, Germany, Europe",5000000,EUR,5046071,2022-10-26,Seed,,,,Yes,Ninetailed primarily offers personalization for headless CMS and modern jamstack frameworks.,"CMS, Personalization, Software",,https://ninetailed.io/?utm_source=linkedin&utm_medium=company&utm_campaign=button,$1M to $10M,6600000,EUR,6880906,M&A,3,"Cherry Ventures, Mosaic Ventures","Carsten Thoma, Cherry Ventures, Chris Schagen, First Momentum Ventures, Jason Cottrell, Mirko Novakovic, Mosaic Ventures",7,2,"38,906"
Series A - cofenster,https://www.crunchbase.com/funding_round/cofenster-series-a--85fb56b9,cofenster,https://www.crunchbase.com/organization/cofenster,Series A,"Hamburg, Hamburg, Germany, Europe",8000000,EUR,9128804,2022-02-10,Early Stage Venture,,,,Yes,cofenster is a video software company that enables to quickly and easily create videos in-house.,"Software, Video, Video on Demand",,https://www.cofenster.com/,$1M to $10M,9500000,EUR,10923921,Early Stage Venture,2,Signals Venture Capital,"Capnamic Ventures, Signals Venture Capital",2,2,"51,043"
Series A - Freeverse.io,https://www.crunchbase.com/funding_round/freeverse-io-series-a--36d64509,Freeverse.io,https://www.crunchbase.com/organization/freeverse-io,Series A,"Barcelona, Catalonia, Spain, Europe",10000000,EUR,10563321,2022-05-09,Early Stage Venture,,,,Yes,Living Assets: NFT 2.0. Evolving - Scalable - Multicurrency - Sustainable - Certifiable.,"Blockchain, FinTech, Gaming, Mobile, Video Games",,https://www.freeverse.io/,$1M to $10M,12112845,USD,12112845,Early Stage Venture,3,"Earlybird Venture Capital, Target Global","4Founders Capital, Adara Ventures, Avi Meir, Earlybird Venture Capital, Lucas Cranach, Mario Götze, Markus Ament, OneFootball, Target Global",9,2,"52,058"
Series A - Lumiform,https://www.crunchbase.com/funding_round/lumiform-series-a--32e96424,Lumiform,https://www.crunchbase.com/organization/lumiform,Series A,"Berlin, Berlin, Germany, Europe",6400000,EUR,6816829,2022-06-01,Early Stage Venture,,,,Yes,Lumiform is the deskless worker OS that helps businesses digitize and automate workflows for frontline teams.,"Information Technology, Service Industry, Software",,https://lumiformapp.com/,$1M to $10M,7800000,EUR,8385536,Early Stage Venture,3,Capnamic Ventures,"42CAP, Capnamic Ventures, Christian Henschel, Christoph Gerber, Christophe Folschette, EquityPitcher Ventures, EXXETA, Jan Hendrik Ansink, Kai Hansen, Paul Müller, Stefan Tietze, Thibaut Britz, WestTech Ventures",13,,"52,151"
Seed Round - LiSA,https://www.crunchbase.com/funding_round/lisa-live-stream-shopping-seed--2d8f8dd5,LiSA,https://www.crunchbase.com/organization/lisa-live-stream-shopping,Seed,"Düsseldorf, Nordrhein-Westfalen, Germany, Europe",2700000,EUR,2747938,2022-08-17,Seed,,,,Yes,"LiSA is a SaaS start-up the most joyful, seamless and scalable live shopping experiences to e-retailers and marketplaces across the globe.","E-Commerce, E-Commerce Platforms, Marketplace, Retail, Retail Technology, Shopping, Social Shopping, Software, Video Streaming",,https://hello-lisa.com,Less than $1M,2700000,EUR,2747938,Seed,1,TechVision Fund,"Georgina Smallwood, TechVision Fund, Venrex",3,1,"52,725"
Seed Round - GOALS,https://www.crunchbase.com/funding_round/goals-seed--d77735cb,GOALS,https://www.crunchbase.com/organization/goals,Seed,"Stockholm, Stockholms Lan, Sweden, Europe",15000000,USD,15000000,2022-04-05,Seed,,,,Yes,GOALS is our attempt to give football the game it deserves.,"Blockchain, Gaming, Online Games",,https://goals.co/,,35000000,USD,35000000,Early Stage Venture,2,Northzone,"Aleksander Leonard Larsen, Banana Capital, CASSIUS, Cherry Ventures, Gerard Pique, Magdalena Kala, Matthew Ball, Moonfire Ventures, Nicolas Julia, Northzone, Not Boring",11,1,"55,760"
