Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Venture Round - Meight,https://www.crunchbase.com/funding_round/meight-series-unknown--d146baf1,Meight,https://www.crunchbase.com/organization/meight,Venture - Series Unknown,"Évora, Evora, Portugal, Europe",3400000,EUR,3568205,2024-12-17,,,,,Yes,Meight develops fuel cost and CO2 emission forecasting platform.,"Computer, InsurTech, Machine Learning, Software",,https://meight.com,,4700000,EUR,5042730,,4,Cusp Capital,"Cusp Capital, EIT Urban Mobility, Faber, Grupo Lusiaves service",4,1,"6,971"
Series A - Paebbl,https://www.crunchbase.com/funding_round/paebbl-series-a--ae1c69d4,Paebbl,https://www.crunchbase.com/organization/paebbl,Series A,"Stockholm, Stockholms Lan, Sweden, Europe",25000000,USD,25000000,2024-10-09,Early Stage Venture,,,,Yes,We re-store captured carbon into industrial raw materials,"Building Material, Carbon Capture, Environmental Engineering, Industrial, Mineral",,https://paebbl.com,$1M to $10M,32969723,USD,32969723,Early Stage Venture,2,Capnamic Ventures,"2050, Aurum Impact, Capnamic Ventures, Climate Pledge Fund, Family office of Antti Herlin, Grantham Foundation, Holcim MAQER Ventures, Pale blue dot",8,2,"7,310"
Seed Round - IonKraft,https://www.crunchbase.com/funding_round/ionkraft-seed--0ac924c5,IonKraft,https://www.crunchbase.com/organization/ionkraft,Seed,"Aachen, Nordrhein-Westfalen, Germany, Europe",3500000,EUR,3708091,2024-11-18,Seed,,,,Yes,"IonKraft can provide better performance at a lower cost while maintaining recyclability, they also promote material reduction and reuse.",Machinery Manufacturing,,https://ionkraft.com,$1M to $10M,5999438,EUR,6360594,Seed,2,"M Ventures, TechVision Fund","HTGF | High-Tech Gruenderfonds, M Ventures, TechVision Fund",3,3,"8,425"
Series A - Recyda GmbH,https://www.crunchbase.com/funding_round/recyda-gmbh-series-a--2732dcc8,Recyda GmbH,https://www.crunchbase.com/organization/recyda-gmbh,Series A,"Freiburg, Baden-Wurttemberg, Germany, Europe",6300000,EUR,6818920,2024-10-24,Early Stage Venture,,,,Yes,Packaging data management and analytics for a circular economy | Recyclability Analysis | EPR-Fee Analysis,"Data Management, Fast-Moving Consumer Goods, Packaging Services, Recycling, Software",,https://www.recyda.com,$1M to $10M,8050000,EUR,8716402,Early Stage Venture,3,Cusp Capital,"Auxxo, Benedikt Franke, Cusp Capital, Futury Capital, Martin Weber, Speedinvest, Stephan Rohr",7,1,"8,482"
Series B - Dexory,https://www.crunchbase.com/funding_round/botsandus-ltd-series-b--6843f58b,Dexory,https://www.crunchbase.com/organization/botsandus-ltd,Series B,"London, England, United Kingdom, Europe",80000000,USD,80000000,2024-10-01,Early Stage Venture,,,,Yes,Dexory captures real-time insights of warehouse operations using fully autonomous robots and Artificial Intelligence.,"Artificial Intelligence (AI), Data Visualization, Logistics, Retail Technology, Warehouse Automation, Warehousing",,https://www.dexory.com/,$1M to $10M,117994387,USD,117994387,Early Stage Venture,10,DTCP,"Atomico, Bootstrap Europe, Capnamic Ventures, DTCP, Lakestar, Latitude Ventures, WaVe-X",7,4,"8,670"
Series B - Exein,https://www.crunchbase.com/funding_round/exein-series-b--3ea396d3,Exein,https://www.crunchbase.com/organization/exein,Series B,"Roma, Lazio, Italy, Europe",15000000,EUR,16382253,2024-07-12,Early Stage Venture,,,,Yes,Exein is a firmware-focused cybersecurity startup that develops an open-source IoT security framework.,"Cyber Security, Information Technology, Internet of Things, Network Security, Software",,https://www.exein.io,$1B to $10B,23000000,EUR,25668223,Early Stage Venture,3,33N Ventures,"33N Ventures, eCAPITAL ENTREPRENEURIAL PARTNERS, Future Industry Ventures, Partech, Redstone.VC, United Ventures",6,4,"9,065"
Series A - PL BioScience,https://www.crunchbase.com/funding_round/pl-bioscience-series-a--52539017,PL BioScience,https://www.crunchbase.com/organization/pl-bioscience,Series A,"Aachen, Nordrhein-Westfalen, Germany, Europe",7800000,EUR,8513704,2024-08-08,Early Stage Venture,,,,Yes,We deliver advanced 2D and 3D cell culture solutions based on human Platelet Lysate,"Biotechnology, Health Care",,https://www.pl-bioscience.com/,$1M to $10M,11500000,EUR,13045646,Early Stage Venture,2,,"Avant Bio, b.value AG, better ventures, Brightlands Venture Partners, LePure Biotech, TechVision Fund",6,,"10,858"
Series A - Black Semiconductor,https://www.crunchbase.com/funding_round/black-semiconductor-series-a--16791c47,Black Semiconductor,https://www.crunchbase.com/organization/black-semiconductor,Series A,"Aachen, Nordrhein-Westfalen, Germany, Europe",25700000,EUR,27788741,2024-06-12,Early Stage Venture,,,,Yes,"Black Semiconductor uses graphene to create ultra-fast, energy-efficient chip networks by connecting thousands as chips to interact as one.","Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Electronics, Manufacturing, Robotics, Semiconductor",,https://blacksemi.com,,254400000,EUR,275076095,Early Stage Venture,4,"Porsche Ventures, Project A Ventures","Cambium Capital Partners, Capnamic Ventures, NRW.BANK, Onsight Ventures, Porsche Ventures, Project A Ventures, Scania Growth Capital, TechVision Fund, Vsquared Ventures",9,2,"13,950"
Series B - Hero Software,https://www.crunchbase.com/funding_round/hero-software-series-b--61e21342,Hero Software,https://www.crunchbase.com/organization/hero-software,Series B,"Hanover, Niedersachsen, Germany, Europe",40000000,EUR,43686007,2024-07-12,Early Stage Venture,,,,Yes,Hero Software offers cloud software solutions that help make office work more efficient than ever.,"Information Technology, Software",,https://hero-software.de/,$1M to $10M,48000000,EUR,52068764,M&A,2,Eight Roads Ventures,"Cusp Capital, Eight Roads Ventures, Federated Hermes",3,4,"15,385"
Seed Round - CUREosity,https://www.crunchbase.com/funding_round/cureosity-seed--678d6628,CUREosity,https://www.crunchbase.com/organization/cureosity,Seed,"Düsseldorf, Nordrhein-Westfalen, Germany, Europe",3800000,EUR,4078233,2024-06-24,Seed,,,,Yes,CUREosity is a Med-Tech company that provides VR-based therapy-solutions on a SaaS business model,"Health Care, Medical, Medical Device, SaaS, Software, Therapeutics, Virtual Reality",,https://www.cureosity.de/,$1M to $10M,8400000,EUR,9365516,Seed,3,,"ADVANT Beiten, FORVIS, Nomainvest, TechVision Fund",4,1,"17,853"
