Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series B - SoSafe,https://www.crunchbase.com/funding_round/sosafe-cyber-security-awareness-series-b--c7d5e0c6,SoSafe,https://www.crunchbase.com/organization/sosafe-cyber-security-awareness,Series B,"Köln, Nordrhein-Westfalen, Germany, Europe",73000000,USD,73000000,2022-01-13,Early Stage Venture,,,,Yes,SoSafe empowers organizations to scale agile awareness programs that build a security culture.,"Cyber Security, SaaS, Security",,https://sosafe-awareness.com/,$1M to $10M,73000000,USD,73000000,Early Stage Venture,3,Highland Europe,"Acton Capital, Carsten Thoma, Christian Henschel, Global Founders Capital, Highland Europe, La Famiglia",6,1,"347,897"
Series B - Resolve BioSciences,https://www.crunchbase.com/funding_round/resolve-biosciences-series-b--88998e23,Resolve BioSciences,https://www.crunchbase.com/organization/resolve-biosciences,Series B,"Düsseldorf, Nordrhein-Westfalen, Germany, Europe",71000000,USD,71000000,2022-10-24,Early Stage Venture,,,,Yes,Resolve Biosciences is a biotechnology research company for molecular cartography.,"Biotechnology, Genetics, Health Care, Life Science, Medical",,https://resolvebiosciences.com/,,95000000,USD,95000000,Early Stage Venture,2,Patient Square Capital,"Alafi Capital, EDBI, HTGF | High-Tech Gruenderfonds, John Shoffner, NRW.BANK, Patient Square Capital, PS Capital",7,1,"63,897"
Series A - WETHEBRANDS (WTB),https://www.crunchbase.com/funding_round/amazing-brands-group-series-a--27344fba,WETHEBRANDS (WTB),https://www.crunchbase.com/organization/amazing-brands-group,Series A,"Cologne, Nordrhein-Westfalen, Germany, Europe",15000000,EUR,16191448,2022-04-19,Early Stage Venture,,,,Yes,"WTB is a technology-driven e-commerce company that buys, grows and operates Amazon businesses globally.","E-Commerce, E-Commerce Platforms, Venture Capital",,https://we-the-brands.de,$1M to $10M,20000000,EUR,22264399,M&A,2,,,,,"458,576"
Series B - Cognigy,https://www.crunchbase.com/funding_round/cognigy-series-b--bfe935cc,Cognigy,https://www.crunchbase.com/organization/cognigy,Series B,"Düsseldorf, Nordrhein-Westfalen, Germany, Europe",15000000,USD,15000000,2022-02-17,Early Stage Venture,,,,Yes,Cognigy is an enterprise conversational AI platform designed to automate customer and employee support processes.,"Artificial Intelligence (AI), Chatbot, Generative AI, Information Technology, IT Infrastructure, IT Management, SaaS, Sales Automation, Small and Medium Businesses, Software",,http://www.cognigy.com,$1M to $10M,168964492,USD,168964492,Late Stage Venture,8,DTCP,DTCP,1,1,"217,176"
Series A - Sastrify,https://www.crunchbase.com/funding_round/sastrify-series-a--0a43a0a2,Sastrify,https://www.crunchbase.com/organization/sastrify,Series A,"Cologne, Nordrhein-Westfalen, Germany, Europe",13000000,EUR,14893364,2022-01-13,Early Stage Venture,,,,Yes,Sastrify is a virtual SaaS service procurement software that improves SaaS operations management and SaaS spending.,"Procurement, SaaS, Software",,https://sastrify.com,$10M to $50M,55193364,USD,55193364,Early Stage Venture,6,FirstMark,"FirstMark, Gokul Rajaram, HV Capital, Jeff Titterton, TS Ventures",5,4,"355,370"
Series A - Buynomics,https://www.crunchbase.com/funding_round/buynomics-series-a--8915dff8,Buynomics,https://www.crunchbase.com/organization/buynomics,Series A,"Cologne, Nordrhein-Westfalen, Germany, Europe",13000000,EUR,13464749,2022-11-15,Early Stage Venture,,,,Yes,End-to-end revenue optimization,"Machine Learning, SaaS, Software",,https://www.buynomics.com/,$1M to $10M,16064749,USD,16064749,Early Stage Venture,3,Insight Partners,"DvH Ventures, Insight Partners, La Famiglia, Seedcamp, Tomahawk.VC",5,4,"214,440"
Series A - LenioBio,https://www.crunchbase.com/funding_round/leniobio-series-a--695c55ae,LenioBio,https://www.crunchbase.com/organization/leniobio,Series A,"Düsseldorf, Nordrhein-Westfalen, Germany, Europe",11500000,EUR,12496305,2022-03-07,Early Stage Venture,,,,Yes,"LenioBio develops rapid plant-based, cell-free protein expression that scales for research, development and production.",Biotechnology,,https://www.leniobio.com/,$1M to $10M,14250000,EUR,15401218,Early Stage Venture,3,Bridford Group,Bridford Group,1,,"213,053"
Series A - Code Intelligence,https://www.crunchbase.com/funding_round/code-intelligence-series-a--2a93ee7e,Code Intelligence,https://www.crunchbase.com/organization/code-intelligence,Series A,"Bonn, Nordrhein-Westfalen, Germany, Europe",11000000,EUR,11716424,2022-06-01,Early Stage Venture,,,,Yes,Code Intelligence provides modern security testing solutions using coverage based fuzzing.,"Network Security, Software",,https://www.code-intelligence.com/,$1B to $10B,13700000,EUR,14789847,Early Stage Venture,4,Tola Capital,"HTGF | High-Tech Gruenderfonds, LBBW VC, OCCIDENT, Thomas Dohmke, Tola Capital, Verve Ventures",6,4,"91,997"
Series A - Sunvigo,https://www.crunchbase.com/funding_round/sunvigo-series-a--ffc7cb1f,Sunvigo,https://www.crunchbase.com/organization/sunvigo,Series A,"Cologne, Nordrhein-Westfalen, Germany, Europe",10000000,EUR,11420505,2022-02-08,Early Stage Venture,,,,Yes,Sunvigo provides you with cheap solar power from your roof and real green power from the grid.,"Renewable Energy, Solar",,https://www.sunvigo.de/,$100M to $500M,53000000,EUR,59106391,Early Stage Venture,7,"Eneco Ventures, Sparta Capital","Ecosummit, Eneco Ventures, HTGF | High-Tech Gruenderfonds, Sparta Capital, Übermorgen Ventures",5,1,"229,077"
Series A - crop.zone,https://www.crunchbase.com/funding_round/crop-zone-series-a--76224553,crop.zone,https://www.crunchbase.com/organization/crop-zone,Series A,"Aachen, Nordrhein-Westfalen, Germany, Europe",11000000,USD,11000000,2022-06-07,Early Stage Venture,,,,Yes,crop.zone provides farmers with chemistry-free tools for weed control and harvest preparation.,"Agriculture, AgTech, Farming",,https://crop.zone/,$1B to $10B,12664145,USD,12664145,Early Stage Venture,2,,"Demeter, MADAUS Capital Partners, Nufarm",3,2,"93,854"
Series A - Vytal,https://www.crunchbase.com/funding_round/vytal-series-a--718c2c00,Vytal,https://www.crunchbase.com/organization/vytal,Series A,"Cologne, Nordrhein-Westfalen, Germany, Europe",10000000,USD,10000000,2022-03-14,Early Stage Venture,,,,Yes,Vytal is a provider of software-enabled reusable packaging solutions to eliminate single-use packaging waste.,"Food and Beverage, Recycling, Snack Food, Sustainability, Waste Management",,https://www.vytal.org,$1M to $10M,19070255,USD,19070255,,4,Grazia Equity,"Flixfounders, Grazia Equity, IP Group, Kiko Ventures, Lawrence Leuschner, Rubio Impact Ventures",6,,"204,747"
Series A - EINHUNDERT Energy,https://www.crunchbase.com/funding_round/einhundert-energy-series-a--cef1fc91,EINHUNDERT Energy,https://www.crunchbase.com/organization/einhundert-energy,Series A,"Cologne, Nordrhein-Westfalen, Germany, Europe",6500000,EUR,7380945,2022-02-15,Early Stage Venture,,,,Yes,EINHUNDERT Energy develops smart services around green and digital energy supply for tenants.,"Billing, Energy, Energy Efficiency, Energy Management, GreenTech, Renewable Energy, Solar",,https://einhundert.de/,$1M to $10M,6500000,EUR,7380945,,3,,"Clima Now, EWE, kopa ventures, Minol Messtechnik, NRW.BANK, Übermorgen Ventures",6,,"447,481"
Seed Round - retraced,https://www.crunchbase.com/funding_round/retraced-seed--90ba5ef0,retraced,https://www.crunchbase.com/organization/retraced,Seed,"Düsseldorf, Nordrhein-Westfalen, Germany, Europe",6500000,EUR,6477271,2022-10-28,Seed,,,,Yes,Retraced provides a SaaS solution enabling tracing of fashion supply chains with Blockchain technology.,"Blockchain, Fashion, Retail Technology, SaaS, Supply Chain Management",,https://retraced.co,Less than $1M,22730000,EUR,24467910,Early Stage Venture,4,Alstin Capital,"Alstin Capital, F-LOG Ventures, Samaipata",3,2,"285,198"
